cholIMIS 0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0
cholIMIS 1
	       0.289332	    -0.00206934	     0.00212303	    -0.00236512	      0.0136723	    -0.00998865	    -0.00619426	    -0.00023189	     -0.0046701	     -0.0070084	      0.0113223	     0.00744235	     -0.0164632	      0.0130631	        0.02357
	              0	       0.133877	    -0.00498939	    -0.00424566	     0.00278125	     0.00155752	     0.00103036	     0.00535044	     0.00354799	    -0.00283234	    -0.00906554	    -0.00389894	   -0.000277422	    -0.00404105	     0.00786496
	              0	              0	       0.155811	    -0.00344975	    -0.00206896	    -0.00452959	    -0.00415381	      0.0446849	    -0.00551516	     0.00175027	      0.0052948	     0.00883551	    -0.00366174	      0.0044039	    -0.00816531
	              0	              0	              0	        0.14225	     -0.0737933	      0.0668177	    -0.00768279	      0.0829892	      0.0503124	      0.0357395	     -0.0208525	     -0.0456706	      0.0848315	      -0.072551	     -0.0636146
	              0	              0	              0	              0	       0.301565	     -0.0404527	    -0.00274689	      -0.105838	     -0.0331519	     -0.0251738	       0.013499	      0.0278417	     -0.0566121	      0.0472308	      0.0444518
	              0	              0	              0	              0	              0	       0.161009	     -0.0093362	      0.0937815	       0.028393	      0.0268263	     -0.0159647	     -0.0278079	      0.0543416	     -0.0443062	     -0.0605301
	              0	              0	              0	              0	              0	              0	       0.258354	      0.0123329	    -0.00435507	     -0.0010469	      0.0118831	    0.000760959	    -0.00677412	     0.00712157	    -0.00955032
	              0	              0	              0	              0	              0	              0	              0	       0.790452	      0.0161682	      0.0054992	     -0.0172249	     -0.0140915	      0.0259722	     -0.0292667	     0.00313789
	              0	              0	              0	              0	              0	              0	              0	              0	      0.0875744	       0.020673	      -0.015486	     -0.0262742	      0.0683845	      -0.055591	     -0.0809942
	              0	              0	              0	              0	              0	              0	              0	              0	              0	       0.162416	    -0.00687396	    -0.00529643	      0.0146402	     -0.0151358	     0.00948516
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	       0.165001	     0.00502505	     -0.0058834	     0.00294049	    -0.00703559
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	       0.181767	     -0.0170501	      0.0195598	    0.000308955
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	       0.199374	     -0.0224028	     -0.0573459
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	       0.149953	      0.0114155
	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	       0.459213
cholIMIS 2
	       0.218613	    -0.00331593	    -0.00179555	     0.00357815	     0.00899042	    -0.00198075	    -0.00722352	      0.0173879	     0.00270049	    -0.00412522	    0.000329063	   -0.000870929	     0.00121971	    0.000411205	    -0.00495504
	              0	      0.0973174	    0.000593442	    -0.00358696	    -0.00923937	     0.00426462	    0.000856819	     0.00821433	     0.00446067	     0.00268145	     -0.0106637	    0.000679237	      0.0100262	    -0.00196909	      -0.018207
	              0	              0	       0.140855	     -0.0961889	     0.00675471	       0.026551	       -0.11682	     -0.0685665	     -0.0332967	    -0.00455261	      0.0894903	     -0.0815132	    -0.00908861	     -0.0553918	       0.063569
	              0	              0	              0	       0.168629	     -0.0429574	     -0.0125579	       0.136392	      0.0961431	      0.0487812	        0.03097	     -0.0996637	      0.0905481	      0.0168329	      0.0530481	     -0.0946204
	              0	              0	              0	              0	       0.226416	     -0.0317213	      0.0153476	      -0.052299	     -0.0248553	     -0.0150625	     0.00649831	       0.018604	     -0.0293109	      0.0363765	       0.013584
