	        12.1127	       0.304271	      -0.210958	      -0.696619	      -0.173265	       0.473767	       0.415145	      -0.114773	      -0.948437	        0.35136	        -1.1854	      -0.217121	       0.588156	      -0.840086	      -0.235931
	       0.304271	        56.3007	        1.26549	        3.03723	      -0.545039	      -0.290418	      -0.293153	      0.0619421	        -3.9479	        1.09771	        2.29535	       0.613798	       0.496191	       0.840314	       -0.35607
	      -0.210958	        1.26549	         41.713	      -0.094564	       0.626336	       0.474514	       0.614751	      -0.623885	        4.38508	       -1.03267	       -1.14784	       -1.30778	      -0.159386	      -0.214638	       0.460924
	      -0.696619	        3.03723	      -0.094564	        67.3127	       0.417463	       -8.35688	      -0.170143	       0.578949	       -21.0921	       -2.31826	       0.974689	        2.99873	        -3.4894	        5.76513	      -0.157801
	      -0.173265	      -0.545039	       0.626336	       0.417463	        12.9627	        2.40498	       0.484159	       0.133095	        7.67576	        1.18257	      -0.270288	      -0.826956	         1.3653	       -1.93439	     -0.0178763
	       0.473767	      -0.290418	       0.474514	       -8.35688	        2.40498	        45.0231	       0.383081	      -0.286432	        -12.983	       -3.85625	        1.58064	        2.43551	       -3.41096	        4.62735	       0.866023
	       0.415145	      -0.293153	       0.614751	      -0.170143	       0.484159	       0.383081	        15.1288	      -0.179174	        1.68162	      -0.166284	       -1.58186	       0.195611	       0.310217	      -0.737104	       0.268408
	      -0.114773	      0.0619421	      -0.623885	       0.578949	       0.133095	      -0.286432	      -0.179174	        1.69923	       -1.80244	      0.0747568	       0.624678	        0.20621	      -0.311377	       0.928101	      -0.132302
	      -0.948437	        -3.9479	        4.38508	       -21.0921	        7.67576	        -12.983	        1.68162	       -1.80244	        162.617	       -5.38315	        5.19899	        4.94076	       -14.8727	        21.8616	        3.31189
	        0.35136	        1.09771	       -1.03267	       -2.31826	        1.18257	       -3.85625	      -0.166284	      0.0747568	       -5.38315	        38.5058	        1.39467	       0.389332	       -1.87442	         3.5643	      -0.414195
	        -1.1854	        2.29535	       -1.14784	       0.974689	      -0.270288	        1.58064	       -1.58186	       0.624678	        5.19899	        1.39467	        36.8041	      -0.789294	       0.840975	      -0.502008	       0.251106
	      -0.217121	       0.613798	       -1.30778	        2.99873	      -0.826956	        2.43551	       0.195611	        0.20621	        4.94076	       0.389332	      -0.789294	        30.9125	        1.91797	       -4.32867	       0.154926
	       0.588156	       0.496191	      -0.159386	        -3.4894	         1.3653	       -3.41096	       0.310217	      -0.311377	       -14.8727	       -1.87442	       0.840975	        1.91797	        26.0881	        4.89642	        1.32341
	      -0.840086	       0.840314	      -0.214638	        5.76513	       -1.93439	        4.62735	      -0.737104	       0.928101	        21.8616	         3.5643	      -0.502008	       -4.32867	        4.89642	        44.4998	      -0.361003
	      -0.235931	       -0.35607	       0.460924	      -0.157801	     -0.0178763	       0.866023	       0.268408	      -0.132302	        3.31189	      -0.414195	       0.251106	       0.154926	        1.32341	      -0.361003	        4.74211
